Neil Gorsuch|To some lawyers, all facts are created equal.
Jean Lorrain, Monsieur De Phocas|TEIRESIAS:You have your eyes but see not where you arein sin, nor where you live, nor whom you live with.Do you know who your parents are? Unknowingyou are enemy to kith and kinin death, beneath the earth, and in this life.
Gary Herbert|I brought a Border Collie back home to Vancouver from Wales - where some of my ancestors are from - and needed to challenge him in other ways than just being my pet. So I investigated sheep herding and took a few lessons, and decided I was probably learning more than my dog!
Corrine Jackson, Ignited|You kissed me yes, But it was not just goodnight even then I could feel the promise in it. The promise that you could kiss me like that forever.
Christopher Bigsby|When today fails to offer the justification for hope, tomorrow becomes the only grail worth pursuing.
Deborah Smith, Alice at Heart|We are all bodies of water, guarding the mystery of our depths, but some of us have more to guard than others.
Ouida|God hates this wishful dreaming because it makes the dreamer proud and pretentious. Those who dream of this idealized community demand that it be fulfilled by God, by others, and by themselves. They enter the community of Christians with their demands, set up their own law, and judge one another and even God accordingly.
Vironika Tugaleva|Each person you admire is simply a reminder of your own latent excellence, your own unacknowledged beauty.
Ishmael Beah, A Long Way Gone: Memoirs of a Boy Soldier|If you could think your way into being a weak minded individual, you could also think your way into being a strong minded person. Life is all about the repeated interpretations we place on things.
Rodrigo Duterte|Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.
Paige Skyler|On the other side of the ledger stood the fact that fotitude was useless against it (liquor). Even the mightiest potsman, a paladin who could match tankards with a whole alehouse of swag-bellies Falstaffs and outquaff the parcel of them, would see his length measured upon the floor by less liquid than it would take to fill his hat.
Martin Jacques|Spending $1 for a brand new house would feel very, very good. Spending $1,000 for a ham sandwich would feel very, very bad. Spending $19,000 for a small family car would feel, well, more or less right. But as with physical pain, fiscal pain can depend on the individual, and everyone has a different threshold.
J.L. Carr, A Month in the Country|If I’d stayed there, would I always have been happy? No, I suppose not. People move away, grow older, die, and the bright belief that there will be another marvelous thing around each corner fades. It is now or never; we must snatch at happiness as it flies.
Sunday Adelaja|Since when has grafts, bribes to get your children into the higher institution become a Nigerian thing?
Roseanne Barr|I have to say, you know, I've seen so many people go through the cycle and become famous and not famous anymore and, you know, want - have their priorities change and want different things.
Elizabeth Kolbert|Objectivity cannot be equated with mental blankness; rather, objectivity resides in recognizing your preferences and then subjecting them to especially harsh scrutiny — and also in a willingness to revise or abandon your theories when the tests fail (as they usually do).
Debasish Mridha|Gratitude, like faith, is a muscle. The more you use it, the stronger it grows, and the more power you have to use it on your behalf. If you do not practice gratefulness, its benefaction will go unnoticed, and your capacity to draw on its gifts will be diminished. To be grateful is to find blessings in everything. This is the most powerful attitude to adopt, for there are blessings in everything.
